Titre;Titre VO;Réalisateur;Date de sortie;Pays
John Wick Parabellum;John Wick Parabellum;Chad Stahelski;17/05/2019;Etats-Unis
Jumanji;Jumanji;Joe Johnston;15/12/1995;Etats-Unis
Jumanji : Bienvenue dans la jungle;Jumanji: Welcome to the Jungle;Jake Kasdan;20/12/2017;Etats-Unis
Jurassic Park;Jurassic Park;Steven Spielberg;11/06/1993;Etats-Unis
Jusqu'a ce que la fin du monde nous sépare;Seeking a Friend for the End of the World;Lorene Scafaria;22/06/2012;Etats-Unis
Kaamelott : Premier Volet;Kaamelott : Premier Volet;Alexandre Astier;;France
Kaboom;Kaboom;Greg Araki;06/10/2010;Etats-Unis
Kamikaze girls;Shimotsuma Monogatari;Tetsuya Nakashima;12/05/2004;Japon
Kill Bill : Volume I;Kill Bill : Volume I;Quentin Tarantino;25/11/2003;Etats-Unis
Kill Bill : Volume II;Kill Bill : Volume II;Quentin Tarantino;16/05/2004;Etats-Unis
Kingsglaive: Final Fantasy XV;Kingusugureibu: Fainaru Fantajī Fifutīn;Takeshi Nozue;09/07/2016;Japon
Kubo et l'Armure magique;Kubo and the Two Strings;Travis Knight;19/08/2016;Etats-Unis
Kuzco, l'empereur mégalo;The Emperor's New Groove;Mark Dindal;10/12/2000;Etats-Unis
L'Effet papillon;The Butterfly Effect;Eric Bress;;Etats-Unis
L'Enfant lion;L'Enfant lion;Patrick Grandperret;;France
L'Étrange Noël de monsieur Jack;The Nightmare Before Christmas;Henry Selick;29/01/1993;Etats-Unis
L'Extravagant Voyage du jeune et prodigieux T. S. Spivet;;Jean-Pierre Jeunet;15/10/2013;France
L'Histoire sans fin;Die unendliche Geschichte;Wolfgang Petersen;06/04/1984;Allemagne
L'Ile Aux Chiens;Isle Of Dog;Wes Anderson;;Etats-Unis
L'Odeur de la papaye verte;Mui du du xanh;Tran Anh Hung;;Vietnam
L'Ombre d'Emily;A Simple Favor;Paul Feig;;Etats-Unis
La Cabane dans les Bois;The Cabin in the Woods;Drew Goddard;13/04/2012;Etats-Unis
La Cite de la peur;La Cite de la peur;Alain Berberian;08/03/1994;France
La Dernière Licorne;The Last Unicorn;Jules Bass;19/11/1982;
La Famille Tenenbaum;The Royal Tenenbaums;Wes Anderson;14/12/2001;Etats-Unis
La Favorite;The Favourite;Yórgos Lánthimos;23/11/2018;Etats-Unis
La Jeune Fille de l'eau;Lady in the Water;M. Night Shyamalan;;Etats-Unis
La ligne verte;The green mile;Frank Darabont;10/12/1999;Etats-Unis
La Ligue des gentlemen extraordinaires;The League of Extraordinary Gentlemen;Stephen Norrington;10/07/2003;Etats-Unis
La Momie;The Mummy;Stephen Sommers;07/05/1999;Etats-Unis
La Reine Des Neiges;Frozen;Chris Buck;27/11/2013;Etats-Unis
La Saveur Des Ramen;Ramen Teh;Eric Khoo;29/03/2018;Singapour
La Traversée du temps;Toki o kakeru shojo;Mamoru Hosoda;15/07/2006;Japon
Là-haut;Up;Bob Peterson;29/07/2009;Etats-Unis
Lady Vengeance;Chinjeolhan geumjassii;Park Chan-wook;15/11/2005;Corée
Laurence Anyways;Laurence Anyways;Xavier Dolan;18/07/2012;Canada
Le Bal Des Vampires;The Fearless Vampire Killers;Roman Polanski;;Etats-Unis
Le Bon, la Brute et le Truand;Il buono, il brutto; il cattivo;Sergio Leone;;Italie
Le Cercle des poètes disparus;Dead Poets Society;Peter Weir;;Etats-Unis
Le Chat Du Rabbin;Le Chat Du Rabbin;Joann Sfar;01/06/2011;France
Le Château ambulant;Hauru no ugoku shiro;Hayao Miyazaki;20/11/2004;Japon
Le Château dans le ciel;Tenku no shiro Rapyuta;Hayao Miyazaki;02/08/1986;Japon
Le Concert;Le Concert;Radu Mihaileanu;03/11/2009;France
Le Crime de l'Orient-Express;Murder on the Orient Express;Kenneth Branagh;;Etats-Unis
Le Fabuleux Destin d'Amelie Poulain;Le Fabuleux Destin d'Amelie Poulain;Jean-Pierre Jeunet;24/04/2001;France
Le Garçon et la Bête;Bakemono no ko;Mamoru Hosoda;11/07/2015;Japon
Le labyrinthe de Pan;El laberinto del fauno;Guillermo del Toro;10/10/2006;Espagne
Le Labyrinthe du silence;Im Labyrinth des Schweigens;Giulio Ricciarelli;05/11/2014;Allemagne
Le Monde de Charlie;The Perks of Being a Wallflower;Stephen Chbosky;20/09/2012;Etats-Unis
Le Nom des gens;Le Nom des gens;Michel Leclerc;12/12/2010;France
Le Peuple Loup;Wolfwalkers;Tomm Moore;;Japon
Le pont de la rivière Kwaï;The Bridge on the River Kwai;David Lean;;Angleterre
Le Roi Arthur : La Légende d'Excalibur;King Arthur);Guy Ritchie;;Etats-Unis
Le Roi des ronces;Ibara no O;Kazuyoshi Katayama;01/05/2010;Japon
Le Secret des Marrowbone;El secreto de Marrowbone;Sergio G. Sánchez;;Espagne
Le Seigneur des anneaux - La communauté de l'anneau;The Lord of the Rings: The Fellowship of the Ring;Peter Jackson;10/12/2001;Etats-Unis
